,frequency
The Jungle Book,20
Aircraft,20
Sheffield,20
Australian megafauna,20
Snape Maltings,20
Drake Bell,20
Chemical compound,20
Mesa Verde National Park,20
Ellis Park Stadium,20
Cap-HaÃ¯tien,20
Edward the Confessor,20
Nazan Ãncel,20
John Batman,20
Alexander Litvinenko,20
Vocation,20
Richard R. Schrock,20
Quicksand,20
The Sarah Jane Adventures,20
British Columbia,20
Bonn,20
Pseudonym,20
Emancipation Proclamation,20
Hadrian,20
Timbuktu,20
"Village School (Great Neck, New York)",20
Brazilian Federal District,20
Banknote,20
Susanoo,20
Nona Gaprindashvili,20
List of Bryan Adams backing band members,20
Same-sex marriage,20
James A. Michener,20
Ritchie Blackmore,20
Somaliland,20
Art Blakey,20
JuliÃ¡n PadrÃ³n,20
Oblast,20
Bobcat,20
Esztergom,20
Blade Runner,20
Crime,20
Ikebana,20
Cinco de Mayo,20
City of London,20
Ticket of leave,20
Viking,20
Mischief night,20
Leh,20
Hampshire College,20
Taxicab number,20
Child grooming,20
Wikipedia:Editor review/American Eagle,20
Toilet,20
Anna Seghers,20
Ichi the Killer,20
Gymnasium (ancient Greece),20
Classical economics,20
Percussion instrument,20
Nigeria,20
Books of the Bible,20
Atlas Shrugged,20
Managua,20
Webkinz,20
Education,20
Death's-head Hawkmoth,20
Pictures at an Exhibition,20
Waffen-SS,20
Second Life,20
Numeral system,20
Doric order,20
Kiss,20
Cellular respiration,20
Financial capital,20
Argument,20
Barbie,20
Feedback,20
Robert Guiscard,20
Venus figurines,20
San Juan Province (Dominican Republic),20
Damien Rice,20
Christmas 1994 nor'easter,20
Apollo 13,20
Austrian Grand Prix,20
Emperor Suinin,20
James Monroe,20
Chosen-ciphertext attack,20
Giulio Caccini,20
Bradshaw Trail,20
Tent city,20
Saint Petersburg Philharmonic Orchestra,20
D major,20
Ivan Pavlov,20
Wright brothers,20
John Key,20
Crystallization,20
Demosthenes,20
Midlands,20
Rhodes,20
Alanis Morissette,20
Authority,20
Jimmy Swaggart,20
Edvard Munch,20
Tasmania,20
Orthomyxoviridae,20
Taung Child,20
Calgary,20
Istanbul Park,20
Peter Lorre,20
Nicobar Islands,20
Moral Code of the Builder of Communism,20
Rhineland-Palatinate,20
Chicago Symphony Orchestra,20
Oxpecker,20
Pieridae,20
When I'm Sixty-Four,20
Copper(II) oxide,20
George I of Great Britain,20
Ovum,20
Hollandaise sauce,20
East Asian calligraphy,20
The Simpsons Movie,20
Omelette,20
500 home run club,20
Kate Moss,20
Jan Mayen,20
Warranty,20
Bob Graham,20
Key exchange,20
Final Fantasy,20
Delara Darabi,20
BookCrossing,20
Kullervo,20
William Peter Van Ness,20
Johann Strauss II,20
Charles Manson,20
Newfoundland (dog),20
Venus Flytrap,20
Space opera,20
RÃ©aumur scale,20
Homeopathy,20
AndrÃ©-Marie AmpÃ¨re,20
Jacopo Peri,20
Python (programming language),20
Employment Non-Discrimination Act,20
Cave painting,20
16 Psyche,20
Shawnee Park,20
Club Penguin,20
Belgium,20
Karl Marx,20
Vehicle,20
RenÃ© Descartes,20
Chinchilla,20
Blink-182,20
Cogeneration,20
Mass (music),20
George H. W. Bush,20
Maroon Berets,20
Nord-Est Department,20
Nocturnes (Debussy),20
Plauen,20
Valmiki,20
Word order,20
Wikipedia:Vandalism,20
Creative Commons,20
President,20
Bruise,20
Osprey,20
Black Sabbath,20
Korean International School of Hong Kong,20
Rio de Janeiro,20
Kyoto,20
Louise of Mecklenburg-Strelitz,20
Lithium oxide,20
Seven deadly sins,20
The Point!,20
Motherwell F.C.,20
Pangolin,20
Jason Everman,20
2006 Hengchun earthquake,20
Topological space,20
Equilibrium,20
Mount Athos,20
Vasa (ship),20
2 Girls 1 Cup,20
Anomie,20
Asteroid belt,20
Nitric oxide,20
Samuel,20
Kurt Schumacher,20
Rishi,20
Kalevala,20
Fear and Loathing in Las Vegas,20
Alan Turing,20
Cornwall,20
Edward B. Lewis,20
Pirna,20
Mary Cassatt,20
Santiago RodrÃ­guez Province,20
Engelbert Dollfuss,20
Battle of Antietam,20
KÃ¶penick,20
Madagascar,20
"Aquilino Pimentel, Jr.",20
Gorgon,20
Stem cell,20
"Hugh Trenchard, 1st Viscount Trenchard",20
Leprosy,20
Ramsar Convention,20
Exaggeration,20
James A. Garfield,20
NASCAR,20
Rockabilly,20
Hercules: The Legendary Journeys,20
Automaton,20
WWE United States Championship,20
Castanets,20
Hildegard of Bingen,20
Curt Stern,20
Sarcosuchus,20
James Cook,20
George A. Romero,20
Neutrino,20
Hugo ChÃ¡vez,20
Waterpark,20
FranÃ§ois Jacob,20
Hezbollah,20
Incheon,20
Floyd Patterson,20
Finnish language,20
Satin Bowerbird,20
Statistician,20
Delgadillo's Snow Cap Drive-In,20
C2 Green Tea,20
Latvia,20
Bisexuality,20
Smallpox,20
Edna Parker,20
Battlefield 2,20
Pritzker Architecture Prize,20
HTTP cookie,20
Arthur Ransome,20
Template:Convert/doc,20
Irish War of Independence,20
Sterling Morrison,20
High fidelity,20
Ernie Coombs,20
Cunard Line,20
Deinonychus,20
Anthony Rolfe Johnson,20
Carbohydrate,20
Mein Kampf,20
Nurse,20
"Mary Tudor, Queen of France",20
Copper(II) hydroxide,20
Fly,20
Flamingo,20
Joey Scarbury,20
Priest,20
Hans Knappertsbusch,20
Ichthyophthirius multifiliis,20
Flag of Russia,20
Pon de Replay,20
Forestle,20
Marsupial,20
Trireme,20
Kennel cough,20
Polo,20
Astrophysics,20
Scarborough (ship),20
Old Kingdom of Egypt,20
Winter solstice,20
Judit PolgÃ¡r,20
Tunicate,20
Bioinformatics,20
Qi Yuwu,20
DajabÃ³n,20
Gyeongju,20
Scrambled eggs,20
Adasaurus,20
Joseba Sarrionandia,20
Munich,20
Asia Brewery,20
Diwali,20
HMS Endeavour,20
Haute couture,20
STS-122,20
Differential equation,20
Dimension,20
Leap year,20
Energy,20
Union for a Popular Movement,20
Ghana,20
FranÃ§oise Hardy,20
Thomas Mann,20
Caravaggio,20
Cocos (Keeling) Islands,20
Matter,20
Dave Grohl,20
"Benalla, Victoria",20
Nikita Khrushchev,20
Rabbi,20
Unter den Linden,20
Nematomorpha,20
Simpson Desert,20
Goldfish,20
The Simpsons Hit &amp; Run,20
Sewall Wright,20
Estigmene acrea,20
Maureen Tucker,20
WWE Draft,20
Ub Iwerks,20
"Hanged, drawn and quartered",20
Shah Mosque,20
Pentagram,20
Sud-Est Department,20
Notts County F.C.,20
Andalusia,20
Weak interaction,20
Bunker,20
Bigfoot,20
William Morris,20
Ecosystem,20
Concerto grosso,20
Body Volume Index,20
"Peechelba, Victoria",20
Siberian Traps,20
Mount Merapi,20
Ukraine,20
Sound card,20
Princess Peach,20
San Nicolas Island,20
MichelsonâMorley experiment,20
Mercury(II) chloride,20
Elizabeth Bowes-Lyon,20
Jordan,20
Incest,20
Jack Palance,19
King (chess),19
Simplified English,19
National Hockey League,19
Heather Graham,19
Sarah Bernhardt,19
Clitoris,19
Madison Square Garden,19
Gamma ray,19
Motherboard,19
Sergiu Celibidache,19
X-ray,19
Benozzo Gozzoli,19
Great Dark Spot,19
Michio Kaku,19
Yu-Gi-Oh!,19
Carbon tetrachloride,19
Poverty in India,19
Kim Possible,19
Flensburg,19
CrÃ¨me brÃ»lÃ©e,19
Health,19
Great Zimbabwe,19
Alliance for the Future of Austria,19
Phenotype,19
Evil,19
Iron(III) sulfate,19
JiÅÃ­ BÄlohlÃ¡vek,19
"University of California, Los Angeles",19
Work (thermodynamics),19
Early Middle Ages,19
Future of the Earth,19
Mario Kart Wii,19
Template:Str â¤ len/doc,19
Fig Pudding,19
Chile,19
Kanfen,19
Alain Prost,19
Down syndrome,19
"Jamestown, Virginia",19
Night of Champions (2009),19
Hurricane Erika (2003),19
Ferdinand Lassalle,19
Antonine Wall,19
Roman Herzog,19
Brenda Song,19
Antelope,19
Jeanne Demessieux,19
Advaita Vedanta,19
Atmospheric convection,19
Habitat,19
Harrison Birtwistle,19
Potassium manganate,19
Pythagorean theorem,19
International Standard Book Number,19
Extrasolar planet,19
Axel jump,19
Model organism,19
Joseph Banks,19
Governor of New South Wales,19
Ben &amp; Jerry's,19
Allele,19
Liberal arts,19
Paladin,19
Griffith's experiment,19
Template:Flagicon/doc,19
Radiocarbon dating,19
Cologne Cathedral,19
Copper(I) chloride,19
Diagnosis,19
Fatimid Caliphate,19
Cereal,19
Uncle Ben,19
Walt Disney,19
Cardcaptor Sakura,19
Police,19
Psychoneuroimmunology,19
Harvard University,19
Man's Place in Nature,19
Konrad Adenauer,19
Damon Hill,19
Syllogism,19
Political status of Taiwan,19
"Sacramento, California",19
Bryan Hopkin,19
Philadelphia Flyers,19
Holy See,19
Pun,19
Mumbai,19
John Knox,19
Ruhollah Khomeini,19
Mining,19
Tate,19
Chernobyl disaster,19
Apoptosis,19
Guy Dollman,19
John Foxe,19
Wikipedia:Requests for adminship/Gordonrox24,19
Emergency medicine,19
Iceberg,19
Arnold Sommerfeld,19
Alphabet (computer science),19
Trumpet,19
Claymore,19
Miranda (novel),19
Wiley's Well,19
Chicago Cubs,19
Bundesliga,19
Darth Vader,19
Emphysema,19
Salvador Jorge Blanco,19
Piston,19
Corroboree frog,19
Wikipedia:Babel,19
LC circuit,19
Trans fat,19
Aqua regia,19
The Real Ghostbusters,19
Peter Medawar,19
Suez Canal,19
Calvin cycle,19
Louis XII of France,19
Hamish MacCunn,19
Wikipedia:Bots,19
Mendelian inheritance,19
Yo-yo,19
Aretha Franklin,19
ENIAC,19
Entertainment Software Rating Board,19
Wayne Rooney,19
Candle,19
Glue,19
Half of a Yellow Sun,19
Civil engineering,19
Edmund Beecher Wilson,19
Wikipedia:No personal attacks,19
Royal Canadian Air Cadets,19
Siegfried,19
Control engineering,19
Biome,19
Angle,19
Martha Washington,19
Need,19
George Grenville,19
Plinian eruption,19
Boy Scouts of America,19
Carl Reinecke,19
Iron(III) nitrate,19
Alaska,19
Hybrid Theory,19
Kevin-Prince Boateng,19
Flat Earth,19
Race (biology),19
Sadri language,19
Wire rope,19
Clarinet,19
Westminster Abbey,19
Octopus's Garden,19
Rubber Soul,19
Xylophone,19
Data compression,19
Albi,19
Kaffir lime,19
Star Wars Episode I: The Phantom Menace,19
"Moca, Dominican Republic",19
Hypertext Transfer Protocol,19
Siamang,19
Britain (name),19
Dolores Hidalgo,19
Computer network,19
Hemel Hempstead,19
Boomerang,19
Ottawa Senators,19
Tuvalu,19
Maria Sharapova,19
Hurricane Fabian,19
Oboe,19
False gharial,19
The Kite Runner,19
Template:London Gazette/doc,19
Snowball Earth,19
Frank Jack Fletcher,19
Old Melbourne Gaol,19
Albert Jacka,19
Gombe Stream National Park,19
Amanita,19
Orlando Gibbons,19
Marley &amp; Me (film),19
Coeliac disease,19
Linnean Society of London,19
Rancid (band),19
Copper(I) iodide,19
Kingdom Hearts: Chain of Memories,19
Hexham Abbey,19
Nagorno-Karabakh,19
Hemp,19
Marco Polo,19
Cystic fibrosis,19
She's Leaving Home,19
Daughter of the Forest,19
Lothar Bisky,19
Josiah Wedgwood,19
Delta Goodrem,19
Ediacaran,19
Siegbert Tarrasch,19
Faust,19
"San CristÃ³bal, Dominican Republic",19
Mutual information,19
Manatee Palms Youth Services,19
Bohemianism,19
Wigmore Hall,19
Nakhodka,19
Letitia Christian Tyler,19
Sophene,19
James Buchanan,19
Socratic method,19
24-hour clock,19
James Cotton,19
Paris Green,19
Potassium iodide,19
University,19
The Prince and the Pauper,19
Chris Ivory,19
Hannah Montana,19
Comoving distance,19
"Beveridge, Victoria",19
Mannerism,19
Lee Keun-Ho,19
Psychoactive drug,19
Mecca,19
Cantabria,19
Paul Bunyan,19
Harmony,19
Paper size,19
The Elder Scrolls IV: Oblivion,19
Gaelic football,19
Etruscan civilization,19
Rainbow Serpent,19
Xbox Live Vision,19
Federico PeÃ±a,19
Greater London Council,19
Jive (dance),19
Electron shell,19
El Muerto,19
Senegal,19
Tim Hunt,19
Existentialism,19
Team Umizoomi,19
Bob Hope,19
Biography,19
Capillary,19
The Care Bears Movie,19
LiveJournal,19
Plato,19
Eli Manning,19
Magnetic field,19
Oktoberfest,19
Homo georgicus,19
Skyscraper,19
Cowry,19
John Grisham,19
Chris Gueffroy,19
Manitoba,19
Dream,19
Trade,19
Adele,19
Haber process,19
Hurricane Isabel,19
Straight-eight engine,19
Canberra,19
Peter GrÃ¼nberg,19
"Concord, New Hampshire",19
ParaÃ­ba,19
Shire,19
Credit default swap,19
Hamster,19
Newbie,19
Pool (cue sports),19
Don't Bother Me,19
JÃ¼rgen Klinsmann,19
Roundhay Park,19
Iliad,19
Michael Tilson Thomas,19
"Prince Andrew, Duke of York",19
Seven Years' War,19
"Wikipedia:Go ahead, vandalize",19
Chlorophytum comosum,19
File system,19
Lutz Graf Schwerin von Krosigk,19
Petticoat,19
Decimal,19
African Sanctus,19
Turing machine,19
Southampton,19
Heart disease,19
Pig (dice),19
South Asia,19
Lascaux,19
Intel Core,19
Missouri River,19
Monstera,19
Inflation,19
Virtual memory,19
Commedia dell'arte,19
Round Table,19
The Holocaust,19
Amplitude modulation,19
Lord Don't Slow Me Down,19
Potassium chromate,19
Jubilee line,19
Microphone,19
Barry Switzer,19
Vivien Leigh,19
Mechanical bull,19
Thallium(I) sulfate,19
Zebra,19
Rabbit,19
Christian,19
Gumby,19
Boris Karloff,19
William Turner (composer),19
Tiger shark,19
Bob Dylan,19
RC4,19
World Party Day,19
Orgasm,19
Jerzy PopieÅuszko,19
Robert Vaughn,19
Paramecium,19
Regional casino,19
George Bernard Shaw,19
Entoprocta,19
Palestine,19
Fortran,19
Lord Mayor of London,19
Thomas Robert Malthus,19
Polly Pocket,19
Saint Kitts and Nevis,19
Pneumothorax,19
Bill Bowerman,19
Loammi Baldwin,19
Skepticism,19
License,19
Asexual reproduction,19
Sally Ride,19
Genealogy,18
Calvinism,18
Fairuz Fauzy,18
UNICEF,18
Relient K,18
"Caulfield, Victoria",18
Emperor RichÅ«,18
Francis Galton,18
Alfred Hitchcock,18
King Penguin,18
Institution,18
Themis (hypothetical moon),18
Gabon,18
VolapÃ¼k,18
Po (river),18
Suda,18
San Andreas Fault,18
Richard III (play),18
Transcription (music),18
Igneous rock,18
Gene targeting,18
Komitas Vardapet,18
Beverly Crusher,18
Template:Mdash/doc,18
Moat,18
World Series of Poker,18
Plastic Ono Band,18
Silver chloride,18
Leon Trotsky,18
United States House of Representatives,18
Hato Mayor del Rey,18
WWE Cruiserweight Championship,18
Mew (PokÃ©mon),18
Basset Hound,18
Eine kleine Nachtmusik,18
Microsoft,18
Wikipedia:No legal threats,18
Book of Ruth,18
Wikipedia:Requests for adminship/Mentifisto,18
Solitary confinement,18
Galina Vishnevskaya,18
Glen Campbell,18
Anvil,18
Star Wars: TIE Fighter,18
Artibonite River,18
Subtropical Storm Andrea (2007),18
Athanasian Creed,18
Flood,18
Lyrics,18
Niacin,18
Bujumbura,18
Wikipedia:Stub,18
IvÃ¡n Castro,18
James the Just,18
Anaconda,18
Murder,18
Barium nitrate,18
Maggie Simpson,18
Habitable zone,18
Gregor Mendel,18
Scutellosaurus,18
"Chatham County, North Carolina",18
Smells Like Teen Spirit,18
"Binda, New South Wales",18
Ven Conmigo,18
Geography,18
Sewage treatment,18
Verandah,18
Eric Maskin,18
Comb,18
Collision,18
Indra,18
"Muscatine, Iowa",18
Joe Vialls,18
Lithium carbonate,18
Brazil,18
Renewable energy in developing countries,18
Keeani Lei,18
Sonata,18
Chester Bennington,18
Caspar Wessel,18
Shin Seung Hun,18
Manic Street Preachers,18
Fall Out Boy,18
Epidexipteryx,18
Couch,18
Emperor Bidatsu,18
Copa Libertadores,18
Battle of Okinawa,18
Fox,18
Chocolate chip cookie,18
Cybernetics,18
Cheers,18
Vector space,18
Neutron,18
Magnet,18
Liv Tyler,18
Roman Senate,18
Quango,18
Emo,18
Octal,18
Jessie Redmon Fauset,18
Anna Bligh,18
Haiku,18
Coelophysis,18
Met Office,18
Shillong,18
Catherine Parr,18
KNVB Cup,18
Bowling,18
Tony Blair,18
Biology,18
Daniel Webster,18
Emperor Suizei,18
WWE Breaking Point,18
Franz LehÃ¡r,18
Genetic engineering,18
Process,18
Cardinal Richelieu,18
Strom Thurmond,18
Hy-Vee,18
Olivia Newton-John,18
Spider Riders,18
PLM College of Law,18
Parliament of Australia,18
Density,18
Minoan civilization,18
Lie,18
Adventure,18
Neem Karoli Baba,18
Drunken Tiger,18
Oldham Athletic A.F.C.,18
Persian lime,18
Video CD,18
Ununtrium,18
Libretto,18
Edinburgh,18
Tikal,18
M&amp;M's,18
The Lion King II: Simba's Pride,18
Athena,18
Toy,18
Crucifixion of Jesus,18
RC2,18
Torchwood,18
Annals,18
Digital rights,18
Archimedes' principle,18
Wales,18
Frank O'Connor,18
Hayk,18
Dessert,18
Synod of Dort,18
Chobits,18
2010 Haiti earthquake,18
Wikipedia:Template messages,18
Intron,18
Cheryl Cole,18
Yersinia pestis,18
Illusion,18
Wilderness,18
Ultraviolet,18
Parliament of the United Kingdom,18
AgustÃ­n Ross,18
Audrey Hepburn,18
Dark Horse Comics,18
Monophyly,18
Meal,18
Nuclear meltdown,18
Jazz,18
Gunnar NordstrÃ¶m,18
Scott Moir,18
Scottish National Party,18
Foreign minister,18
Saint Patrick,18
City-state,18
Clade,18
Heliantheae,18
Patrick Macnee,18
Gough Whitlam,18
Text editor,18
Jacques Cousteau,18
Endemism,18
Final Fantasy VII,18
Steam engine,18
BBC Symphony Orchestra,18
Tarbosaurus,18
Bruce Dickinson,18
SK Rapid Wien,18
Democratic Republic of Armenia,18
Victoria Wood,18
J. C. Bailey,18
Barnacle,18
Herbert Hoover,18
Hanover,18
Gerolamo Cardano,18
Pure Pwnage,18
Damascus,18
Truth,18
Cardiopulmonary resuscitation,18
Ichthyosaurus,18
United States Grand Prix,18
The Secret of NIMH,18
Sign,18
Starlight (Warriors),18
Catalysis,18
Calvin Harris,18
Stanford prison experiment,18
Ai Takahashi,18
May Pang,18
Space-time tradeoff,18
Doutzen Kroes,18
Barium hydroxide,18
Gerry Davey,18
Italian language,18
Grumman Goose,18
2006 Formula One season,18
Last of the Summer Wine,18
List of counties in Alabama,18
GÃ¶del's incompleteness theorems,18
Sleepwalking,18
Marble,18
Chirality (chemistry),18
Cathar castles,18
Yoann Gourcuff,18
Margot Frank,18
Template:Navigation/doc,18
Javier PÃ©rez de CuÃ©llar,18
Lactose intolerance,18
Dromornis,18
Jared Diamond,18
Simon Fraser University,18
Mutation,18
Farringdon station,18
"Coweta, Oklahoma",18
Omid Djalili,18
Elizabeth Taylor,18
Blood plasma,18
Assyrian Church of the East,18
Malacostraca,18
Emperor KÅrei,18
Enrico Fermi,18
Tobacco,18
Ionizing radiation,18
Four Asian Tigers,18
Coral Sea,18
Mykonos,18
Emperor Norton,18
Rouen,18
Child pornography,18
Survivor: Borneo,18
HMS Supply (1759),18
Sonnet,18
Transmission Control Protocol,18
Police officer,18
Shawn Sawyer,18
Tau,18
Jesus with erection,18
"Lichtenstein, Saxony",18
Mandriva Linux,18
BogotÃ¡,18
Privy Council of the United Kingdom,18
Guity Novin,18
Candice Michelle,18
Neil Young,18
Joseph Bonaparte,18
Tropical Storm Fay (2008),18
Francesco Cavalli,18
Wikia,18
Herbert Prohaska,18
Decapitation,18
Legume,18
ConcepciÃ³n,18
Kenny Rankin,18
School colors,18
Dakar,18
Domitian,18
Electric current,18
Superscalar,18
Mazurka,18
Josip Broz Tito,18
Carl Jung,18
Fourier transform,18
Bernard Haitink,18
Pat Paulsen,18
Ingmar Bergman,18
Eldest,18
Emperor of India,18
Amphibian,18
Infinitive,18
Particle accelerator,18
Ape Escape 2,18
Goth subculture,18
Cassiopeia (mythology),18
Loma de Cabrera,18
Median,18
Helen Herron Taft,18
Biological hazard,18
Argentine National Anthem,18
Central Intelligence Agency,18
Western Long-beaked Echidna,18
Opcode,18
Urine,18
Glasgow,18
Dementia,18
OneRepublic,18
University of London,18
